Qty,Value,Package,Parts,Description,Retailer,Catalogue
,,,,,,
6,100K,0207/10,"R1, R2, R3, R4, R6, R7",RESISTOR 1/4W,Farnell,2329853
1,12K,0207/10,R8,RESISTOR 1/4W,Farnell,2329863
1,1K,0207/10,R11,RESISTOR 1/4W,Farnell,2329885
1,47K,0207/10,R5,RESISTOR 1/4W,Farnell,2329944
2,75Ω,0207/10,"R9, R10",RESISTOR 1/4W,Farnell,
,,,,,,
4,100nF,C050-025X075,"C5, C6, C8, C9",CAPACITOR,Farnell,2797801
4,220nF,C050-025X075,"C1, C2, C3, C4",CAPACITOR,Farnell,1679404
1,22pF,C050-025X075,C7,CAPACITOR,Farnell,1457695
,,,,,,
1,600:600 ,Z1604_TRANSFORMER,Z1,Z1604 Audio Transformer,Farnell,1172421
,,,,,,
2,NE5532,DIL08,"IC1, IC2",Low Noise Op-Amp 8-pin DIP,Farnell,3117314
,,,,,,
1,Power Header,,WP1,4 way MTA156 or 10 way IDC,Farnell,589068
1,(Alt) Power Header,,WP1,10 way Shrouded IDC,Farnell,2843527
,,,,,,
1,"TRS 1/4"" Jack","TRS 1/4"" Jack",OUT,"1/4"" Stereo Jack (panel part)",Farnell,4169190
1,TRS mini-jack,TRS mini-jack,HP_OUT,Stereo Jack (panel part),Farnell,2911026
2,A100K,,"HPVOL, MSTR",Taiwan Alpha 16mm (panel part),Rapid,65-0830
4,B100K,,"IN1, IN2, IN3, IN4",Taiwan Alpha 16mm (panel part),Rapid,65-0756
4,Orange Banana,,"IN1, IN2, IN3, IN4",Johnson/Cinch Banana Orange (panel part),Mouser,530-108-0906-1
