Qty,Value,Package,Parts,Description,Retailer,Catalogue
1,B100K,ALPHA_RV09_9MMPOT,R3,Taiwan Alpha 9mm Potentiometer,Thonk,D-shaft B100K
2,B10K,ALPHA_RV09_9MMPOT,"R1, R2",Taiwan Alpha 9mm Potentiometer,Thonk,D-shaft B10K
2,BANANA_PANEL,BANANA_PANEL,"CV, OFFSET",Cinch Red Banana Socket,Mouser,530-108-0902-1
1,BANANA_PANEL,BANANA_PANEL, SIGNAL,Cinch Orange Banana Socket,Mouser,530-108-0906-1
3,BANANA_PANEL,BANANA_PANEL,"OUT1, OUT2, SUMO",Cinch Blue Banana Socket,Mouser,530-108-0910-1
2,Socket Header,Socket Header,,8way 1row 2.54mm Header Socket,Farnell,1668208
4,PCB Standoff,PCB Standoff,,PCB Spacer,Farnell,1466945
4,M3 Screw,M3 Screw,,Stainless Steel M3,Farnell,1420032
,,,,,,
2,Small Knob,Small Knob,"R1, R2",SIFAM/SELCO Small Black,Thonk,Small Black
1,Large Knob,Large Knob,R3,SIFAM/SELCO Small Black,Thonk,Large Black
2,Small Red Cap,Small Red Cap,"R1, R2",SIFAM/SELCO Cap Red Small,Thonk,Cap Small Red
1,Large Blue Cap,Large Blue Cap,R3,SIFAM/SELCO Cap Blue Large,Thonk,Cap Large Blue
