Qty,Value,Package,Parts,Description,RETAILER,CATALOGUE
,,,,,,
16,100K,0207/10,"R4, R8, R9, R10, R11, R16, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30",RESISTOR 1/4W,Farnell,2329853
2,100Ω,0207/10,"R45, R46",RESISTOR 1/4W,Farnell,2329854
7,10K,0207/10,"R5, R6, R7, R12, R15, R41, R44",RESISTOR 1/4W,Farnell,2329855
4,12K,0207/10,"R2, R3, R13, R14",RESISTOR 1/4W,Farnell,2329863
2,15K,0207/10,"R33, R36",RESISTOR 1/4W,Farnell,1563095
2,22K,0207/10,"R19, R20",RESISTOR 1/4W,Farnell,2329901
6,47K,0207/10,"R37, R38, R39, R40, R42, R43",RESISTOR 1/4W,Farnell,2329944
1,4K7,0207/10,R1,RESISTOR 1/4W,Farnell,2329945
2,5K6,0207/10,"R31, R32",RESISTOR 1/4W,Farnell,2329958
2,75K,0207/10,"R17, R18",RESISTOR 1/4W,Farnell,2329972
2,10K,RTRIM3296W,"R34, R35",Trimm resistor 3296W,Farnell,9353186
,,,,,,
2,22pF,C050-025X075,"C13, C14",CAPACITOR Ceramic,Farnell,1457695
8,100nF,C050-025X075,"C5, C6, C7, C8, C9, C10, C11, C12",CAPACITOR Ceramic,Farnell,2797801
3,4.7¬µF,"E2,5-6E","C1, C2, C3","POLARIZED CAPACITOR, Electrolytic 25V+",Farnell,9451234
,,,,,,
2,2N3904,TO92,"Q2, Q4",NPN Transistor TO-92,Farnell,1574370
2,2N3906,TO92,"Q1, Q3",PNP Transistor TO-92,Farnell,1574372
1,LM13700,DIL16,IC2,Dual Transconductance Amplifier with Darlington Buffer,Farnell,3118206
1,TL082,DIL08,IC4,Dual Operational Amplifier,Farnell,1103189
2,TL084,DIL14,"IC1, IC3",Quad Operational Amplifier,Farnell,3005140
,,,,,,
1,Power Header,Power Header,WP1,10 way Shrouded IDC,Farnell,2843527
,,,,,,
9,Jack / Banana Connector,1X01,"CV1, CV2, FLD2, OFS1, OFS2, OUT, SIG, VCA",Banana or Jack patch point (panel part),Farnell,1698951
1,SPDT Mechanical Switch,1X02,EXT,Toggle switch SPDT (panel part),Farnell,9473491
2,B100K Potentiometer,1X03,"POT1, POT2",Taiwan Alpha 16mm (panel part),Rapid,65-0756
