Qty,Value,Package,Parts,Description,Retailer,Catalogue
,,,,,,
6,100K,0207/10,"R7, R9, R17, R18, R30, R34",RESISTOR 1/4W,Farnell,2329853
2,100Ω,0207/10,"R41, R42",RESISTOR 1/4W,Farnell,2329854
2,140K,0207/10,"R29, R33",RESISTOR 1/4W,Farnell,1083485
4,15K,0207/10,"R31, R32, R35, R37",RESISTOR 1/4W,Farnell,1563095
2,150K,0207/10,"R27, R28",RESISTOR 1/4W,Farnell,2329871
6,1K,0207/10,"R2, R4, R6, R15, R25, R26",RESISTOR 1/4W,Farnell,2329885
2,200K,0207/10,"R5, R16",RESISTOR 1/4W,Farnell,2329895
2,220K,0207/10,"R1, R3",RESISTOR 1/4W,Farnell,2329899
2,220Ω,0207/10,"R39, R40", RESISTOR 1/4W,Farnell,2329900
2,33K,0207/10,"R12, R21",RESISTOR 1/4W,Farnell,2329922
6,47K,0207/10,"R10, R11, R13, R19, R20, R22",RESISTOR 1/4W,Farnell,2329944
2,75K,0207/10,"R8, R23",RESISTOR 1/4W,Farnell,2329972
,,,,,,
4,100nF,C050-025X075,"C2, C3, C5, C6",CAPACITOR,Farnell,2797801
2,2.2¬µF,E2-5,"C1, C4",CAPACITOR Non-polarised electrolytic ,Farnell,1236667
,,,,,,
6,BAT85,DO35-7,"D1, D2, D3, D4, D5, D6",BAT85 Schottky Diode,Farnell,2889133
6,2N3904,TO92,"Q1, Q2, Q3, Q4, Q5, Q6",NPN TRANSISTOR,Farnell,1574370
2,TL084_DIP,DIL14,"IC1, IC2",TL084 14 pin DIL,Farnell,3117825
,,,,,,
6,Banana Connector,,"EO1, EO2, GI1, GI2, PO1, PO2",Banana or Jack patch point (panel part),Farnell,1698951
2,LED,,"LED1, LED2",LED (panel part),Farnell,1581143
2,Push button,,"MG1, MG2",Momentary push button (panel part),Farnell ,1634691
4,A100K,,"P1, P2, P3, P4",Taiwan Alpha 16mm (panel part),Rapid,65-0845
2,SPDT Switch,,"MODE1, MODE2",Toggle switch SPDT (panel part),Farnell,9473491
1,Power Header,,WP1,4 way MTA156 or 10 way IDC,Farnell ,589068
1,(Alt) Power Header,,WP1,10 way Shrouded IDC,Farnell,2843527
