Qty,Value,Package,Parts,Description,Retailer,Catalogue
2,,LED3MM,"LED1, LED2",LED 3mm Red,Farnell,1581121
4,A1Meg,ALPHA_RV09_9MMPOT,"R1, R2, R3, R4",Taiwan Alpha 9mm Potentiometer,Thonk,D-shaft A1M
4,BANANA_PANEL,BANANA_PANEL,"ENV1, ENV2, PULSE1, PULSE2",Green Banana Socket,Farnell,1698955
2,BANANA_PANEL,BANANA_PANEL,"GATE1, GATE2",Red Banana Socket,Farnell,1698950
2,MCDTS-2_PUSHBUTTON,MCDTS-2_PUSHBUTTON,"S1, S2",MCDTS-2 Series Momentary Switch,Farnell,2543105
2,SPDT_SWITCHDW1,MICRODPDT-DW1,"SW1, SW2",SPDT Dailywell Toggle Switch,Thonk,DW1
2,MCDTS-2 Cap,MCDTS-2 Cap,"S1, S2",MCDTS-2 Series Cap KTSC-22R Red,Farnell,9561536
4,Small Knob,Small Knob,"R1, R2, R3, R4",SIFAM/SELCO Small Grey,Thonk,Small Grey
4,Small Green Cap,Small Green Cap,"R1, R2, R3, R4",SIFAM/SELCO Cap Green Small,Thonk,Small Green
4,Male Header,Male Header,,8way 1row 2.54mm Header Male,Farnell,2356160
4,Female Header,Female Header,,8way 1row 2.54mm Header Female,Farnell,1668208
4,M3 Screw,M3 Screw,,Stainless Steel M3,Farnell,1420032
