Qty,Value,Package,Parts,Description,Retailer,Catalogue
,,,,,,
13,100K,0207/10,"R1, R2, R3, R4, R7, R8, R9, R10, R15, R16, R17, R18, R19",RESISTOR 1/4W,Farnell,2329853
3,100Ω,0207/10,"R20, R21, R22",RESISTOR 1/4W,Farnell,2329854
2,10K,0207/10,"R6, R12",RESISTOR 1/4W,Farnell,2329855
2,120K,0207/10,"R13, R14",RESISTOR 1/4W,Farnell,
2,1K,0207/10,"R5, R11",RESISTOR 1/4W,Farnell,2329885
4,4K7,0207/10,"R23, R24, R25, R26",RESISTOR 1/4W,Farnell,2329945
,,,,,,
3,22pF,C050-025X075,"C3, C4, C9",CAPACITOR Ceramic 5mm,Farnell,1457695
4,100nF,C050-025X075,"C1, C2, C7, C8",CAPACITOR Ceramic 5mm,Farnell,2797801
,,,,,,
2,2N3904,TO92,"Q2, Q3",NPN TRANSISTOR TO-92,Farnell,1574370
2,2N3906,TO92,"Q1, Q4",PNP Transistor TO-92,Farnell,1574372
2,TL084,DIL14,"IC1, IC3",TL084 Quad op-amp 14-pin DIP,Farnell,3117825
,,,,,,
1,COMBO_SUPPLY_HEADER,COMBINED_POWER,WP1,10 way Shrouded IDC,Farnell,589068
,,,,,,
4,B100K,1X03,"POT1, POT2, POT3, POT4",Taiwan Alpha 16mm (panel part),Rapid,65-0845
10,1XWIREPAD,1X01,"IN1, IN2, OUT1, OUT2, SPLIT, SPLO1, SPLO2, SUM1, SUM2, SUMO",Banana or Jack patch point (panel part),Farnell,1698951
2,2XWIREPAD,1X02,"BL1, BL2",Bicolour LED 2-pin,Farnell,1581207
