Qty,Value,Package,Parts,Description,Retailer,Catalogue
,,,,,,
10,100K,0207/10,"R8, R9, R10, R11, R17, R25, R26, R27, R28, R34",RESISTOR 1/4W,Farnell,2329853
2,100Ω,0207/10,"R7, R24",RESISTOR 1/4W,Farnell,2329854
4,1K,0207/10,"R2, R4, R19, R21",RESISTOR 1/4W,Farnell,2329885
2,1M,0207/10,"R15, R32",RESISTOR 1/4W,Farnell,2329894
6,22K,0207/10,"R1, R16, R18, R33, R35, R36",RESISTOR 1/4W,Farnell,2329901
2,2K7,0207/10,"R12, R29",RESISTOR 1/4W,Farnell,2329914
2,33K,0207/10,"R5, R22",RESISTOR 1/4W,Farnell,2329922
2,470Ω,0207/10,"R14, R31",RESISTOR 1/4W,Farnell,2329942
2,5K6,0207/10,"R3, R20",RESISTOR 1/4W,Farnell,2329958
2,75K,0207/10,"R6, R23",RESISTOR 1/4W,Farnell,2329972
2,100Ω,RTRIM3296W,"R13, R30",Trimm resistor,Farnell,9353186
,,,,,,
6,100nF,C050-025X075,"C5, C6, C7, C8, C9, C10",CAPACITOR,Farnell,2797801
4,22pF,C050-025X075,"C1, C2, C3, C4",CAPACITOR,Farnell,1457695
,,,,,,
4,2N3906,TO92,"Q1, Q2, Q3, Q4",PNP Transistor,Farnell,1574372
1,LM13700_DIP,DIL16,IC1,LM13700 16 pin DIL,Farnell,3118206
2,TL084_DIP,DIL14,"IC2, IC3",TL084 14 pin DIL,Farnell,3005140
,,,,,,
1,4XMOLEX,MOLEX-1X4,POW,Molex 4 pin KK 254 6373 series,Farnell,1462920
,,,,,,
10,Banana Connector,,"CVI1A, CVI1B, CVI2A, CVI2B, INV1, INV2, SI1, SI2, SO1, SO2",Banana or Jack patch point (panel part),Farnell,1698951
2,B100K,,"BIAS1, BIAS2",Taiwan Alpha 16mm (panel part),Rapid,65-0756
4,B10K,,"CVI1A, CVI1B, CVI2A, CVI2B",Taiwan Alpha 16mm (panel part),Rapid,65-0753
2,SPDT,,"INV1, INV2, SI1, SI2", SPDT Toggle Switch, Farnell, 9473416
