Qty,Value,Package,Parts,Description,Retailer,Catalogue
,,,,,,
6,100K,0207/10,"R6, R11, R12, R13, R14, R15",RESISTOR 1/4W,Farnell,2329853
3,100Ω,0207/10,"R3, R23, R24",RESISTOR 1/4W,Farnell,2329854
5,10K,0207/10,"R1, R5, R9, R10, R21",RESISTOR 1/4W,Farnell,2329855
2,150K,0207/10,"R4, R25",RESISTOR 1/4W,Farnell,2329871
1,1M,0207/10,R18,RESISTOR 1/4W,Farnell,2329894
1,22K,0207/10,R2,RESISTOR 1/4W,Farnell,2329901
1,2K_Tempco,0207/10,R16,Tempco Resistor 3300ppm,Thonk / ENB,LT16S202F33
1,2M2,0207/10,R26,RESISTOR 1/4W,Farnell,2330093
1,47K,0207/10,R19,RESISTOR 1/4W,Farnell,2329944
1,47Ω,0207/10,R20,RESISTOR 1/4W,Farnell,2329945
1,680K,0207/10,R8,RESISTOR 1/4W,Farnell,2330363
1,75K,0207/10,R7,RESISTOR 1/4W,Farnell,2329972
1,100Ω,RTRIM3296W,R17,Trimm resistor,Farnell,9353500
1,10K,RTRIM3296W,R22,Trimm resistor,Farnell,9353186
,,,,,,
6,100nF,C050-025X075,"C4, C5, C6, C7, C8, C9",CAPACITOR,Farnell,2797801
1,1nF,C050-025X075,C1,CAPACITOR PET recommended,Farnell,1685470
1,22pF,C050-025X075,C3,CAPACITOR,Farnell,1457695
,,,,,,
1,BAT85,DO35-7,D1,BAT85 Schottky Diode,Farnell,2889133
2,2N3906,TO92,"Q1, Q2",PNP Transistor (Matched to 1.5mVbe),ENB or Farnell,1574372
1,LM13700_DIP,DIL16,IC1,LM13700 16 pin DIL,Farnell,3118206
2,TL084_DIP,DIL14,"IC2, IC3",TL084 14 pin DIL,Farnell,3005140
2,LM4040,TO92,"PREF1, PREF2",LM4040 10V TO-92 Package,Farnell,3124410
,,,,,,
1,Power Header,,WP1,4 way MTA156 or 10 way IDC,Farnell,589068
1,(Alt) Power Header,,WP1,10 way Shrouded IDC,Farnell,2843527
,,,,,,
5,Banana Connector,,"CVINA, CVINB, SIN, SQR, TRI",Banana or Jack patch point (panel part),Farnell,1698951
3,B100K,,"FREQ, FINE, DIST",Taiwan Alpha 16mm (panel part),Rapid,65-0756
1,B10K,,CVINB,Taiwan Alpha 16mm (panel part),Rapid,65-0753
