Qty,Value,Package,Parts,Description,RETAILER,CATALOGUE
,,,,,,
9,100K,0207/10,"R4, R5, R6, R27, R28, R32, R33, R43, R45","RESISTOR, European symbol",Farnell,2329853
5,100Ω,0207/10,"R30, R34, R36, R37, R48","RESISTOR, European symbol",Farnell,2329854
5,10K,0207/10,"R8, R9, R35, R38, R47","RESISTOR, European symbol",Farnell,2329855
2,150K,0207/10,"R19, R24","RESISTOR, European symbol",Farnell,2329871
5,15K,0207/10,"R10, R12, R13, R14, R15","RESISTOR, European symbol",Farnell,2329873
3,1K,0207/10,"R2, R16, R17","RESISTOR, European symbol",Farnell,2329885
2,200K,0207/10,"R29, R39","RESISTOR, European symbol",Farnell,2329895
4,22K,0207/10,"R21, R25, R44, R46","RESISTOR, European symbol",Farnell,2329901
3,2K,0207/10,"R3, R26, R31","RESISTOR, European symbol",Farnell,2329911
2,330K,0207/10,"R40, R41","RESISTOR, European symbol",Farnell,9341765
1,47K,0207/10,R1,"RESISTOR, European symbol",Farnell,2329944
1,47Ω,0207/10,R42,"RESISTOR, European symbol",Farnell,2329945
2,5K7,0207/10,"R18, R22","RESISTOR, European symbol",Farnell,2329958
1,7K5,0207/10,R11,"RESISTOR, European symbol",Farnell,2329974
1,100Ω,RTRIM3296W,R7,Trimm resistor,Farnell,9353500
2,10K,RTRIM3296W,"R20, R23",Trimm resistor,Farnell,9353186
,,,,,,
14,100nF,C050-025X075,"C2, C4, C5, C8, C9, C18, C19, C20, C21, C22, C23, C26, C27, C28","CAPACITOR, European symbol",Farnell,2797801
3,100pF,C050-025X075,"C7, C24, C25","CAPACITOR, European symbol",Farnell,1141765
1,10nF,C050-025X075,C12,"CAPACITOR, European symbol",Farnell,1141772
1,330nF,C050-025X075,C1,"CAPACITOR, European symbol",Farnell,2309021
1,4.7nF,C050-025X075,C10,"CAPACITOR, European symbol",Farnell,2860131
2,4.7µF,E2-5,"C3, C13","POLARIZED CAPACITOR, European symbol",Farnell,9451234
3,560pF,C050-025X075,"C11, C14, C15","CAPACITOR, European symbol",Farnell,2990777
3,1µF,E2-5,"C6, C16, C17","POLARIZED CAPACITOR, European symbol",Farnell,1870979
,,,,,,
1,L78L05,TO92,VREG1,5V Regulator TO-92,Farnell,3335817
2,2N3904,TO92,"Q5, Q6",NPN TRANSISTOR,Farnell,1574370
4,2N3906,TO92,"Q1, Q2, Q3, Q4",PNP Transistor,Farnell,1574372
4,BAT85,DO35-7,"D1, D2, D3, D4",BAT85 Schottky Diode,Farnell,2889133
1,LM13700,DIL16,IC2,Dual Transconductance Amplifier with Darlington Buffer,Farnell,3118206
1,TL082,DIL08,IC5,Dual Operational Amplifier,Farnell,1103189
2,TL084,DIL14,"IC3, IC4",Quad Operational Amplifier,Farnell,3117825
1,PT2399DIL16,DIL16,IC1,Echo Processor DIP,Tayda,A-043
,,,,,,
3,Pin Header,Pin Header,,8way 1row 2.54mm Header Pin,Farnell,2856626
1,Power Header,,WP1,10 way Shrouded IDC,Farnell,2843527
,,,,,,
3,B100K,,"T_POT, FB_POT, VCA_POT",Taiwan Alpha 16mm (panel part),Rapid,65-0756
2,B10K,,"T_CV, FB_CV",Taiwan Alpha 16mm (panel part),Rapid,65-0753
6,Banana or Jack Patch Point,1X01,"DELAY, FB_CV, MIX, SIG_IN, T_CV, VCA_CV",Banana or Jack patch point (panel part),Farnell,1698951
