Qty,Value,Package,Parts,Description,Retailer,Catalogue
,,,,,,
5,100K,0207/7,"R13, R15, R27, R28, R29",RESISTOR 1/4W,Farnell,2329853
3,100Ω,0207/7,"R14, R20, R21",RESISTOR 1/4W,Farnell,2329854
11,10K,0207/7,"R3, R5, R9, R10, R11, R16, R19, R22, R25, R30, R31",RESISTOR 1/4W,Farnell,2329855
3,15K,0207/7,"R33, R36, R37",RESISTOR 1/4W,Farnell,1563095
2,1K,0207/7,"R7, R18",RESISTOR 1/4W,Farnell,2329885
1,20K,0207/7,R17,RESISTOR 1/4W,Farnell,2329897
1,2M2,0207/7,R4,RESISTOR 1/4W,Farnell,1186239
1,220Ω,0207/7,R39,RESISTOR 1/4W,Farnell,2329900
3,470K,0207/7,"R1, R2, R6",RESISTOR 1/4W,Farnell,2329941
2,47K,0207/7,"R26, R32",RESISTOR 1/4W,Farnell,2329944
4,4K7,0207/7,"R23, R24, R34, R35",RESISTOR 1/4W,Farnell,2329947
1,470Ω,0207/7,R38,RESISTOR 1/4W,Farnell,2329942
1,100K,RTRIM3296W,R8,Trimm resistor Bourns 3296W,Farnell,9353194
,,,,,,
10,100nF,C050-025X075,"C2, C4, C12, C14, C15, C16, C17, C18, C19, C20",CAPACITOR Ceramic,Farnell,1141777
3,10nF,C050-025X075,"C7, C9, C11",CAPACITOR Ceramic,Farnell,2860090
1,10pF,C050-025X075,C3,CAPACITOR Ceramic,Farnell,2309022
1,1¬µF,E2-5,C1,CAPACITOR Electrolytic,Farnell,1236666
1,2.2nF,C050-025X075,C10,CAPACITOR Ceramic,Farnell,2860116
2,22pF,C050-025X075,"C6, C13",CAPACITOR Ceramic,Farnell,2860107
1,4.7¬µF,E2-5,C8,CAPACITOR Electrolytic,Farnell,9451234
1,47nF PET,C050-025X075,C5,CAPACITOR PET,Farnell,1006025
1,BP 4.7¬µF,E2-5,C21,CAPACITOR Bipolar Electrolytic,Farnell,1236668
,,,,,,
4,2N3904,TO92,"Q2, Q3, Q6, Q7",NPN TRANSISTOR,Farnell,1574370
1,2N3906,TO92,Q1,PNP Transistor,Farnell,1574372
2,2N7000,TO92,"Q4, Q5",N-Channel FET,Farnell,2453761
3,BAT85,DO35-7,"D1, D2, D3",DO35 Schottky Diode,Farnell,1097299
1,OPTOCOUPLERSILONEX,SILONEX_OPTOCOUPLER,OC1,Optocoupler NSL-32,Farnell,3168773
1,LF398,DIL08,IC2,LF398 Monolithic Sample and Hold 8-pin DIP,Farnell,3005404
2,TL084,DIL14,"IC1, IC4",TL084 Quad JFET Op-Amp 14-pin DIP,Farnell,3005140
1,556,DIL14,IC3,TLC556CN Timer ,Farnell,3121214
,,,,,,
1,COMBO_SUPPLY_HEADER,COMBINED_POWER,WP1,10 way Shrouded IDC,Farnell,2843527
,,,,,,
8,Banana Connector,,"SLW_CV, SLW_I, SLW_O, TRIG, COMP, SH_I, SH_0, WN",Banana or Jack patch point (panel part),Farnell,1698951
2,B100K Potentiometer,,"BIAS, SLW_CV",Taiwan Alpha 16mm (panel part),Rapid,65-0756
1,Switch,,SW1,Toggle switch SPDT (panel part),Farnell,9473491
